Subject,Fluency_Item,Semantic_Similarity,Frequency_Value,Phonological_Similarity
CAF-657,lizard,0.0001,5.89522027,0.0001
CAF-657,cat,0.399546163810934,7.013143358,0.0001
CAF-657,hawk,0.28714156707112737,6.384581525,0.0001
CAF-657,dog,0.2585238565309198,7.256114028,0.3333
CAF-657,turtle,0.19766504714713018,6.229758099,0.0001
CAF-657,jellyfish,0.45323567895767236,5.224579675,0.0001
CAF-657,bear,0.14591803365466227,7.366226929,0.1429
CAF-657,ant,0.21666532405745942,6.426146105,0.0001
CAF-657,mosquito,0.2833508157070508,6.026549198,0.1429
CAF-657,frog,0.4168757012952765,6.319346573,0.0001
CAF-657,tadpole,0.5037547379322302,5.208922147,0.0001
CAF-657,fish,0.3286583429863117,7.344814258,0.0001
CAF-657,shark,0.3915585474030894,6.054603863,0.0001
CAF-657,dolphin,0.30626597825950164,5.864843201,0.1667
CAF-657,gorilla,0.13122867049865639,5.657093158,0.1667
CAF-657,monkey,0.2615454529154999,6.401926546,0.0001
CAF-657,fly,0.10373999652307919,7.029176525,0.0001
CAF-657,eagle,0.42279527063081734,6.640854253,0.0001
CAF-657,toad,0.24658386208906147,5.885895277,0.0001
CAF-657,rat,0.3746705280079503,6.766463413,0.0001
CAF-657,mouse,0.49449225721616985,6.776846046,0.0001
CAF-657,rodents,0.11589444731702425,5.818422536,0.1429
CAF-657,rodents,1.0,5.818422536,1.0
CAF-657,fox,0.11061245738306258,6.849727181,0.1429
CAF-657,american,0.11008273564428228,8.145126466,0.125
CAF-657,deer,0.12828722819848404,6.706983738,0.125
CAF-657,squirrel,0.4188002028267548,6.080840335,0.0001
CAF-657,rabbit,0.3963740343056126,6.568628649,0.1667
CAF-657,bird,0.31635664311082345,7.119400245,0.2
CAJ-663,peacock,0.0001,6.002633379,0.0001
CAJ-663,african,0.17904019770776824,7.284544989,0.1429
CAJ-663,elephant,0.3365209587424749,6.363660295,0.2857
CAJ-663,zebra,0.38259861462591216,5.561689192,0.1429
CAJ-663,horse,0.24776648469433948,7.396710537,0.2
CAJ-663,cat,0.12601712244513597,7.013143358,0.0001
CAJ-663,dog,0.43666867442123425,7.256114028,0.0001
CAJ-663,reptile,0.22667590528175685,5.656324398,0.0001
CAJ-663,turtle,0.31346140664166033,6.229758099,0.3333
CAJ-663,dolphin,0.2295692192604144,5.864843201,0.1667
CAJ-663,penguin,0.27445955657891674,6.25042049,0.2857
CAJ-663,buffalo,0.24197568743221576,6.710471006,0.0001
CAJ-663,kangaroo,0.36951537772667276,5.566218227,0.0001
CAJ-663,goose,0.3124667481543326,6.301955793,0.1667
CAJ-663,duck,0.40122566568043716,6.439638803,0.0001
CAJ-663,swan,0.2639061432770091,6.23145965,0.0001
CAJ-663,monkey,0.18659048781492138,6.401926546,0.0001
CAJ-663,primate,0.05945844390260624,5.892763902,0.0001
CAJ-663,lion,0.13535268893308683,6.723957079,0.1667
