Subject,Fluency_Item,Semantic_Similarity,Frequency_Value,Phonological_Similarity
CAF-657,lizard,0.0001,5.89522027,0.0001
CAF-657,cat,0.45408250911186754,7.013143358,0.0001
CAF-657,hawk,0.5019314848604564,6.384581525,0.0001
CAF-657,dog,0.5076509677245453,7.256114028,0.3333
CAF-657,turtle,0.3907488197721649,6.229758099,0.0001
CAF-657,jellyfish,0.426451252311426,5.224579675,0.0001
CAF-657,bear,0.22755668278083752,7.366226929,0.1429
CAF-657,ant,0.34497877352420825,6.426146105,0.0001
CAF-657,mosquito,0.4479488023586221,6.026549198,0.1429
CAF-657,frog,0.49957566868120007,6.319346573,0.0001
CAF-657,tadpole,0.5799331184368598,5.208922147,0.0001
CAF-657,fish,0.44054656123979785,7.344814258,0.0001
CAF-657,shark,0.6820106146274298,6.054603863,0.0001
CAF-657,dolphin,0.569533943677185,5.864843201,0.1667
CAF-657,gorilla,0.4279723361159906,5.657093158,0.1667
CAF-657,monkey,0.4845740500792277,6.401926546,0.0001
CAF-657,fly,0.27804602225632336,7.029176525,0.0001
CAF-657,eagle,0.5558159380898552,6.640854253,0.0001
CAF-657,toad,0.36442761185005934,5.885895277,0.0001
CAF-657,rat,0.5525364282152242,6.766463413,0.0001
CAF-657,mouse,0.5981468901265946,6.776846046,0.0001
CAF-657,rodents,0.25539644736012923,5.818422536,0.1429
CAF-657,rodents,1.0,5.818422536,1.0
CAF-657,fox,0.31109080653841814,6.849727181,0.1429
CAF-657,american,0.17458770138790713,8.145126466,0.125
CAF-657,deer,0.11340015682717619,6.706983738,0.125
CAF-657,squirrel,0.5426576168378634,6.080840335,0.0001
CAF-657,rabbit,0.6203832630419542,6.568628649,0.1667
CAF-657,bird,0.5030300676866495,7.119400245,0.2
CAJ-663,peacock,0.0001,6.002633379,0.0001
CAJ-663,african,0.28402938683071555,7.284544989,0.1429
CAJ-663,elephant,0.4032086282538021,6.363660295,0.2857
CAJ-663,zebra,0.5450270909189782,5.561689192,0.1429
CAJ-663,horse,0.4111662085468494,7.396710537,0.2
CAJ-663,cat,0.3160277836739498,7.013143358,0.0001
CAJ-663,dog,0.6955221954926183,7.256114028,0.0001
CAJ-663,reptile,0.4717094019922047,5.656324398,0.0001
CAJ-663,turtle,0.37941200960913113,6.229758099,0.3333
CAJ-663,dolphin,0.42434651761243747,5.864843201,0.1667
CAJ-663,penguin,0.4366549997153024,6.25042049,0.2857
CAJ-663,buffalo,0.3298690365264061,6.710471006,0.0001
CAJ-663,kangaroo,0.45484379545538955,5.566218227,0.0001
CAJ-663,goose,0.37330998769679435,6.301955793,0.1667
CAJ-663,duck,0.5781175266795938,6.439638803,0.0001
CAJ-663,swan,0.4590971204504405,6.23145965,0.0001
CAJ-663,monkey,0.35678849443308525,6.401926546,0.0001
CAJ-663,primate,0.08294744177960123,5.892763902,0.0001
CAJ-663,lion,0.2138289644232667,6.723957079,0.1667
CAJ-663,tiger,0.6371592252351647,6.38952206,0.25
CAM-666,cat,0.0001,7.013143358,0.0001
CAM-666,dog,0.6955221954926183,7.256114028,0.0001
CAM-666,reptile,0.4717094019922047,5.656324398,0.0001
CAM-666,australian,0.22114757989991973,6.530851419,0.1111
CAM-666,goat,0.3099353926130627,6.365838461,0.1111
CAM-666,water,0.2864703312058059,8.128616304,0.25
CAM-666,bear,0.19983335015148396,7.366226929,0.0001
CAM-666,firefly,0.26704235029925405,5.169268746,0.0001
CAM-666,fly,0.4548506280515321,7.029176525,0.3333
CAM-666,ant,0.40687676166817477,6.426146105,0.0001
CAM-666,bird,0.4072023722226783,7.119400245,0.0001
CAM-666,eagle,0.6903854003951035,6.640854253,0.0001
CAM-666,moose,0.4863326796777637,5.977754233,0.0001
CAM-666,deer,0.5856049493735748,6.706983738,0.0001
CAM-666,mouse,0.47868663947815193,6.776846046,0.0001
CAM-666,duck,0.626256705000754,6.439638803,0.0001
CAM-666,crow,0.4808530261735088,6.398037974,0.0001
CAM-666,frog,0.5530657978164172,6.319346573,0.25
CAM-666,tadpole,0.5799331184368598,5.208922147,0.0001
CAM-666,caterpillar,0.6431784715299305,5.827004623,0.375
CAM-666,butterfly,0.46466039002463577,6.225709011,0.25
CAM-666,moth,0.44163631812208615,6.090354709,0.0001
CAM-666,gorilla,0.3732193895178051,5.657093158,0.0001
CAM-666,monkey,0.4845740500792277,6.401926546,0.0001
CAM-666,horse,0.35411584191964307,7.396710537,0.0001
CAP-671,african,0.0001,7.284544989,0.0001
CAP-671,elephant,0.4032086282538021,6.363660295,0.2857
CAP-671,lion,0.5263751703499872,6.723957079,0.4286
CAP-671,hippopotamus,0.5563031485692737,5.258390618,0.0909
CAP-671,bat,0.38448517541818306,6.527307346,0.0909
CAP-671,fish,0.22728759505315987,7.344814258,0.0001
CAP-671,shark,0.6820106146274298,6.054603863,0.0001
CAP-671,turtle,0.5072350589491428,6.229758099,0.0001
CAP-671,snake,0.46142416439755896,6.615078486,0.0001
CAP-671,dolphin,0.44878564936141374,5.864843201,0.0001
CAP-671,whale,0.5260570132048388,6.338615042,0.1667
CAP-671,chicken,0.3497802019172712,6.827585591,0.0001
CAP-671,cow,0.5886805594841034,6.679047222,0.2
CAP-671,horse,0.6152025512105936,7.396710537,0.0001
CAP-671,butterfly,0.14516063479317087,6.225709011,0.0001
CAP-671,bear,0.2483163944694562,7.366226929,0.1429
CAP-671,deer,0.36191223565074493,6.706983738,0.3333
CAP-671,tiger,0.5256135639744253,6.38952206,0.0001
CAP-671,bird,0.4771944978645425,7.119400245,0.0001
CAQ-672,alligator,0.0001,5.714162885,0.0001
CAQ-672,water,0.4278623344971355,8.128616304,0.2857
CAQ-672,ostrich,0.3228788455254883,5.653586811,0.1667
CAQ-672,peacock,0.47589318428091065,6.002633379,0.0001
CAQ-672,bear,0.2856206264418858,7.366226929,0.0001
CAQ-672,tiger,0.2566900106896812,6.38952206,0.0001
CAQ-672,lion,0.6371592252351647,6.723957079,0.25
CAQ-672,gorilla,0.399290415702921,5.657093158,0.0001
CAQ-672,monkey,0.4845740500792277,6.401926546,0.0001
CAQ-672,dog,0.5425297435286275,7.256114028,0.0001
CAQ-672,cat,0.6955221954926183,7.013143358,0.0001
CAQ-672,hyena,0.44034028854863794,5.284998893,0.0001
CAQ-672,snake,0.5855961981209469,6.615078486,0.0001
CAQ-672,fish,0.46900551019203807,7.344814258,0.0001
